entidad,relacion,objeto,source_file
Ernesto Cardenal,Lugar de nacimiento,Argentina,nicaragua
Ernesto Cardenal,Ocupación,escritor,nicaragua
Ernesto Cardenal,Ciudadanía,Nicaragua,nicaragua
Ernesto Cardenal,Educado en,Universidad de Columbia,nicaragua
Ernesto Cardenal,Miembro de,Casa de los tres mundos,nicaragua
Ernesto Cardenal,Cargo,ministro de Cultura,nicaragua
Ernesto Cardenal,Premio recibido,Premio de la Paz del Comercio Librero Alemán,nicaragua
Ernesto Cardenal,Fecha de nacimiento,1925-01-20,nicaragua
Ernesto Cardenal,Fecha de defunción,2020-03-01,nicaragua
Ernesto Cardenal,Lugar de nacimiento,Granada,nicaragua
Ernesto Cardenal,Ocupación,poeta,nicaragua
Ernesto Cardenal,Ocupación,político,nicaragua
Ernesto Cardenal,Ocupación,sacerdote católico,nicaragua
Ernesto Cardenal,Ocupación,traductor,nicaragua
Ernesto Cardenal,Ocupación,letrista,nicaragua
Ernesto Cardenal,Ocupación,pintor,nicaragua
Ernesto Cardenal,Ocupación,teólogo,nicaragua
Ernesto Cardenal,Ocupación,escultor,nicaragua
Ernesto Cardenal,Ocupación,ministro de Cultura,nicaragua
Ernesto Cardenal,Ocupación,revolucionario,nicaragua
Ernesto Cardenal,Ocupación,artista visual,nicaragua
Ernesto Cardenal,Premio recibido,Condecoración Austriaca de las Ciencias y las Artes,nicaragua
Ernesto Cardenal,Premio recibido,Orden Nacional José Martí,nicaragua
Ernesto Cardenal,Premio recibido,Premio Theodor Wanner,nicaragua
Ernesto Cardenal,Miembro de,Academia Mexicana de la Lengua,nicaragua
Ernesto Cardenal,Educado en,Facultad de Filosofía y Letras (Universidad Nacional Autónoma de México),nicaragua
Ernesto Cardenal,Educado en,Colegio Centro América,nicaragua
Ernesto Cardenal,Miembro de,Academia de las Artes de Berlín,nicaragua
Ernesto Cardenal,Premio recibido,Orden de la Independencia Cultural Rubén Darío,nicaragua
Ernesto Cardenal,Premio recibido,Premio Reina Sofía de Poesía Iberoamericana,nicaragua
Ernesto Cardenal,Premio recibido,Premio Iberoamericano de Poesía Pablo Neruda,nicaragua
Ernesto Cardenal,Premio recibido,Orden Augusto César Sandino,nicaragua
Claribel Alegría Vides,Lugar de nacimiento,Estelí,nicaragua
Claribel Alegría Vides,Ocupación,escritor de literatura infantil,nicaragua
Claribel Alegría Vides,Ciudadanía,El Salvador,nicaragua
Claribel Alegría Vides,Educado en,Universidad George Washington,nicaragua
Claribel Alegría Vides,Premio recibido,comendador de la Orden de la Estrella de la Solidaridad Italiana,nicaragua
Claribel Alegría Vides,Fecha de nacimiento,1924-05-12,nicaragua
Claribel Alegría Vides,Fecha de defunción,2018-01-25,nicaragua
Claribel Alegría Vides,Ocupación,novelista,nicaragua
Claribel Alegría Vides,Ocupación,ensayista,nicaragua
Claribel Alegría Vides,Ocupación,prosista,nicaragua
Claribel Alegría Vides,Ocupación,lingüista,nicaragua
Claribel Alegría Vides,Ciudadanía,Nicaragua,nicaragua
Nora Astorga,Lugar de nacimiento,Managua,nicaragua
Nora Astorga,Ocupación,juez,nicaragua
Nora Astorga,Ciudadanía,Nicaragua,nicaragua
Nora Astorga,Educado en,Universidad Católica de América,nicaragua
Nora Astorga,Cargo,embajador,nicaragua
Nora Astorga,Fecha de nacimiento,1944-12-10,nicaragua
Nora Astorga,Fecha de defunción,1988-02-14,nicaragua
Nora Astorga,Ocupación,político,nicaragua
Nora Astorga,Ocupación,diplomático,nicaragua
Nora Astorga,Educado en,Universidad Centroamericana,nicaragua
Bárbara Carrera,Lugar de nacimiento,Bluefields,nicaragua
Bárbara Carrera,Ocupación,actor de televisión,nicaragua
Bárbara Carrera,Ciudadanía,Nicaragua,nicaragua
Bárbara Carrera,Fecha de nacimiento,1945-12-31,nicaragua
Bárbara Carrera,Ocupación,actor de cine,nicaragua
Claribel Alegría Vides,Ocupación,escritor,nicaragua
Claribel Alegría Vides,Premio recibido,Premio Casa de las Américas,nicaragua
Claribel Alegría Vides,Ocupación,poeta,nicaragua
Claribel Alegría Vides,Ocupación,traductor,nicaragua
Claribel Alegría Vides,Ocupación,periodista,nicaragua
Claribel Alegría Vides,Premio recibido,Premio Internacional Neustadt de Literatura,nicaragua
Claribel Alegría Vides,Premio recibido,Orden al Mérito Docente y Cultural Gabriela Mistral,nicaragua
Claribel Alegría Vides,Premio recibido,caballero de las Artes y las Letras,nicaragua
Claribel Alegría Vides,Premio recibido,Premio Reina Sofía de Poesía Iberoamericana,nicaragua
Fernando Cardenal,Lugar de nacimiento,Granada,nicaragua
Fernando Cardenal,Ocupación,político,nicaragua
Fernando Cardenal,Ciudadanía,Nicaragua,nicaragua
Fernando Cardenal,Cargo,ministro de Educación,nicaragua
Fernando Cardenal,Premio recibido,Q4287236,nicaragua
Fernando Cardenal,Fecha de nacimiento,1934-01-26,nicaragua
Fernando Cardenal,Fecha de defunción,2016-02-20,nicaragua
Fernando Cardenal,Ocupación,sacerdote católico,nicaragua
Fernando Cardenal,Premio recibido,honorary doctorate of the Vrije Universiteit Brussel,nicaragua
Miguel d'Escoto Brockmann,Lugar de nacimiento,Los Ángeles,nicaragua
Miguel d'Escoto Brockmann,Ocupación,sacerdote,nicaragua
Miguel d'Escoto Brockmann,Ciudadanía,Estados Unidos,nicaragua
Miguel d'Escoto Brockmann,Educado en,Columbia University Graduate School of Journalism,nicaragua
Miguel d'Escoto Brockmann,Empleador,Organización de las Naciones Unidas,nicaragua
Miguel d'Escoto Brockmann,Cargo,embajador,nicaragua
Miguel d'Escoto Brockmann,Premio recibido,Premio Lenin de la Paz,nicaragua
Miguel d'Escoto Brockmann,Fecha de nacimiento,1933-02-05,nicaragua
Miguel d'Escoto Brockmann,Fecha de defunción,2017-06-08,nicaragua
Miguel d'Escoto Brockmann,Ocupación,político,nicaragua
Miguel d'Escoto Brockmann,Ocupación,diplomático,nicaragua
Miguel d'Escoto Brockmann,Premio recibido,Premio Thomas Merton,nicaragua
Miguel d'Escoto Brockmann,Premio recibido,Gran Cruz de la Orden El Sol del Perú,nicaragua
Miguel d'Escoto Brockmann,Ciudadanía,Nicaragua,nicaragua
Miguel d'Escoto Brockmann,Educado en,Maryknoll Seminary,nicaragua
Violeta Chamorro,Lugar de nacimiento,Rivas,nicaragua
Violeta Chamorro,Ocupación,político,nicaragua
Violeta Chamorro,Ciudadanía,Nicaragua,nicaragua
Violeta Chamorro,Educado en,Blackstone College for Girls,nicaragua
Violeta Chamorro,Cargo,Presidente de Nicaragua,nicaragua
Violeta Chamorro,Premio recibido,Orden de Isabel la Católica,nicaragua
Violeta Chamorro,Fecha de nacimiento,1929-10-18,nicaragua
Violeta Chamorro,Fecha de defunción,2025-06-14,nicaragua
Violeta Chamorro,Ocupación,periodista,nicaragua
Violeta Chamorro,Premio recibido,Premio Libertad,nicaragua
Violeta Chamorro,Premio recibido,Premio Giuseppe Motta,nicaragua
Violeta Chamorro,Premio recibido,Collar de la Orden de Isabel la Católica,nicaragua
Violeta Chamorro,Educado en,Our Lady of the Lake University,nicaragua
Adolfo Díaz Recinos,Lugar de nacimiento,Alajuela,nicaragua
Adolfo Díaz Recinos,Ocupación,político,nicaragua
Adolfo Díaz Recinos,Ciudadanía,Nicaragua,nicaragua
Adolfo Díaz Recinos,Cargo,Presidente de Nicaragua,nicaragua
Adolfo Díaz Recinos,Fecha de nacimiento,1875-07-15,nicaragua
Adolfo Díaz Recinos,Fecha de defunción,1964-01-29,nicaragua
Rubén Darío,Lugar de nacimiento,Ciudad Darío,nicaragua
Rubén Darío,Ocupación,escritor,nicaragua
Rubén Darío,Ciudadanía,Nicaragua,nicaragua
Rubén Darío,Obra notable,Azul...,nicaragua
Rubén Darío,Cargo,cónsul,nicaragua
Rubén Darío,Fecha de nacimiento,1867-01-18,nicaragua
Rubén Darío,Fecha de defunción,1916-02-06,nicaragua
Rubén Darío,Ocupación,reportero,nicaragua
Rubén Darío,Ocupación,poeta,nicaragua
Rubén Darío,Ocupación,diplomático,nicaragua
Rubén Darío,Ocupación,periodista,nicaragua
Rubén Darío,Ocupación,autobiógrafo,nicaragua
Rubén Darío,Obra notable,Cantos de vida y esperanza,nicaragua
Rubén Darío,Obra notable,Prosas profanas y otros poemas,nicaragua
Pablo Antonio Vega Mantilla,Ocupación,sacerdote católico,nicaragua
Pablo Antonio Vega Mantilla,Ciudadanía,Nicaragua,nicaragua
Pablo Antonio Vega Mantilla,Cargo,obispo titular,nicaragua
Pablo Antonio Vega Mantilla,Fecha de nacimiento,1919-08-17,nicaragua
Pablo Antonio Vega Mantilla,Fecha de defunción,2007-11-14,nicaragua
Pablo Antonio Vega Mantilla,Ocupación,obispo católico,nicaragua
Pablo Antonio Vega Mantilla,Cargo,obispo de Juigalpa,nicaragua
Pablo Antonio Vega Mantilla,Cargo,Prelado de Juigalpa,nicaragua
René Schick Gutiérrez,Lugar de nacimiento,Managua,nicaragua
René Schick Gutiérrez,Ocupación,político,nicaragua
René Schick Gutiérrez,Ciudadanía,Nicaragua,nicaragua
René Schick Gutiérrez,Cargo,embajador,nicaragua
René Schick Gutiérrez,Premio recibido,Orden El Sol del Perú,nicaragua
René Schick Gutiérrez,Fecha de nacimiento,1909-11-23,nicaragua
René Schick Gutiérrez,Fecha de defunción,1966-08-03,nicaragua
René Schick Gutiérrez,Ocupación,diplomático,nicaragua
René Schick Gutiérrez,Premio recibido,Orden de la Independencia Cultural Rubén Darío,nicaragua
René Schick Gutiérrez,Premio recibido,Cruz federal de la República de Alemania al mérito,nicaragua
René Schick Gutiérrez,Premio recibido,Collar de la Orden de Isabel la Católica,nicaragua
René Schick Gutiérrez,Premio recibido,Gran Cruz de la Orden Civil de Alfonso X el Sabio,nicaragua
René Schick Gutiérrez,Cargo,Presidente de Nicaragua,nicaragua
Ernesto Cardenal,Premio recibido,doctor honoris causa por la Universidad de Granada,nicaragua
Ernesto Cardenal,Premio recibido,doctor honoris causa por la Universidad de Huelva,nicaragua
Ernesto Cardenal,Premio recibido,doctor honoris causa por la Universidad de Valencia,nicaragua
Ernesto Cardenal,Premio recibido,Doctor honoris causa por la Universidad Veracruzana,nicaragua
Ernesto Cardenal,Premio recibido,honorary doctor of the University of Wuppertal,nicaragua
Ernesto Cardenal,Premio recibido,Premio Internacional Mario Benedetti,nicaragua
Bianca Jagger,Lugar de nacimiento,Managua,nicaragua
Bianca Jagger,Ocupación,actor,nicaragua
Bianca Jagger,Ciudadanía,Reino Unido,nicaragua
Bianca Jagger,Educado en,Instituto de Estudios Políticos de París,nicaragua
Bianca Jagger,Premio recibido,Premio Right Livelihood,nicaragua
Bianca Jagger,Fecha de nacimiento,1945-05-02,nicaragua
Bianca Jagger,Ocupación,socialité,nicaragua
Bianca Jagger,Ocupación,modelo,nicaragua
Bianca Jagger,Ciudadanía,Nicaragua,nicaragua
Gioconda Belli,Lugar de nacimiento,Managua,nicaragua
Gioconda Belli,Ocupación,escritor,nicaragua
Gioconda Belli,Ciudadanía,España,nicaragua
Gioconda Belli,Obra notable,La mujer habitada,nicaragua
Gioconda Belli,Miembro de,Academia Nicaragüense de la Lengua,nicaragua
Gioconda Belli,Premio recibido,Premio Hermann Kesten,nicaragua
Gioconda Belli,Fecha de nacimiento,1948-12-09,nicaragua
Gioconda Belli,Ocupación,poeta,nicaragua
Gioconda Belli,Ocupación,periodista,nicaragua
Gioconda Belli,Ocupación,ensayista,nicaragua
Gioconda Belli,Ocupación,activista,nicaragua
Gioconda Belli,Premio recibido,Premio Casa de las Américas,nicaragua
Gioconda Belli,Premio recibido,Premio Anna Seghers,nicaragua
Gioconda Belli,Premio recibido,Das politische Buch,nicaragua
Gioconda Belli,Premio recibido,Premio Biblioteca Breve,nicaragua
Gioconda Belli,Premio recibido,Premio Sor Juana Inés de la Cruz,nicaragua
Gioconda Belli,Premio recibido,Premio Reina Sofía de Poesía Iberoamericana,nicaragua
Gioconda Belli,Premio recibido,Premio de Poesía Generación del 27,nicaragua
Gioconda Belli,Premio recibido,Premio Internacional de Poesía Ciudad de Melilla,nicaragua
Gioconda Belli,Premio recibido,caballero de las Artes y las Letras,nicaragua
Gioconda Belli,Ciudadanía,Italia,nicaragua
Gioconda Belli,Ciudadanía,Chile,nicaragua
Gioconda Belli,Ciudadanía,Nicaragua,nicaragua
María Romero Meneses,Lugar de nacimiento,Granada,nicaragua
María Romero Meneses,Ocupación,monja,nicaragua
María Romero Meneses,Ciudadanía,Nicaragua,nicaragua
María Romero Meneses,Fecha de nacimiento,1902-01-13,nicaragua
María Romero Meneses,Fecha de defunción,1977-07-07,nicaragua
Enrique Bolaños Geyer,Lugar de nacimiento,Nindirí,nicaragua
Enrique Bolaños Geyer,Ocupación,político,nicaragua
Enrique Bolaños Geyer,Ciudadanía,Nicaragua,nicaragua
Enrique Bolaños Geyer,Educado en,Universidad de San Luis,nicaragua
Enrique Bolaños Geyer,Cargo,Presidente de Nicaragua,nicaragua
Enrique Bolaños Geyer,Premio recibido,Orden de la Estrella Brillante,nicaragua
Enrique Bolaños Geyer,Fecha de nacimiento,1928-05-13,nicaragua
Enrique Bolaños Geyer,Fecha de defunción,2021-06-14,nicaragua
Enrique Bolaños Geyer,Premio recibido,Orden de la Independencia Cultural Rubén Darío,nicaragua
Enrique Bolaños Geyer,Cargo,vicepresidente de Nicaragua,nicaragua
Enrique Bolaños Geyer,Premio recibido,Medalla de Servicio por la Democracia,nicaragua
Enrique Bolaños Geyer,Premio recibido,Gran Cruz con Collar de la Orden de la Rosa Blanca de Finlandia,nicaragua
Anastasio Somoza García,Lugar de nacimiento,San Marcos,nicaragua
Anastasio Somoza García,Ocupación,político,nicaragua
Anastasio Somoza García,Ciudadanía,Nicaragua,nicaragua
Anastasio Somoza García,Educado en,Peirce College,nicaragua
Anastasio Somoza García,Cargo,Presidente de Nicaragua,nicaragua
Anastasio Somoza García,Premio recibido,Gran Cruz de la Orden de Isabel la Católica,nicaragua
Anastasio Somoza García,Fecha de nacimiento,1896-02-01,nicaragua
Anastasio Somoza García,Fecha de defunción,1956-09-29,nicaragua
Omar Cabezas,Lugar de nacimiento,León,nicaragua
Omar Cabezas,Ocupación,escritor,nicaragua
Omar Cabezas,Ciudadanía,Nicaragua,nicaragua
Omar Cabezas,Cargo,miembro de la Asamblea Nacional de Nicaragua,nicaragua
Omar Cabezas,Fecha de nacimiento,1950-01-01,nicaragua
Omar Cabezas,Ocupación,político,nicaragua
Benito Rosales,Lugar de nacimiento,Granada,nicaragua
Benito Rosales,Ocupación,político,nicaragua
Benito Rosales,Ciudadanía,Nicaragua,nicaragua
Benito Rosales,Cargo,Presidente de Nicaragua,nicaragua
Benito Rosales,Fecha de nacimiento,1795-01-01,nicaragua
Benito Rosales,Fecha de defunción,1850-01-01,nicaragua
Augusto César Sandino,Lugar de nacimiento,Niquinohomo,nicaragua
Augusto César Sandino,Ocupación,político,nicaragua
Augusto César Sandino,Ciudadanía,Nicaragua,nicaragua
Augusto César Sandino,Fecha de nacimiento,1895-05-18,nicaragua
Augusto César Sandino,Fecha de defunción,1934-02-21,nicaragua
Augusto César Sandino,Ocupación,líder militar,nicaragua
Augusto César Sandino,Ocupación,revolucionario,nicaragua
Anastasio Somoza Debayle,Lugar de nacimiento,León,nicaragua
Anastasio Somoza Debayle,Ocupación,político,nicaragua
Anastasio Somoza Debayle,Ciudadanía,Nicaragua,nicaragua
Anastasio Somoza Debayle,Educado en,Academia Militar de los Estados Unidos,nicaragua
Anastasio Somoza Debayle,Obra notable,Nicaragua Betrayed,nicaragua
Anastasio Somoza Debayle,Cargo,Presidente de Nicaragua,nicaragua
Anastasio Somoza Debayle,Premio recibido,Cruz federal de la República de Alemania al mérito,nicaragua
Anastasio Somoza Debayle,Fecha de nacimiento,1925-12-05,nicaragua
Anastasio Somoza Debayle,Fecha de defunción,1980-09-17,nicaragua
Anastasio Somoza Debayle,Premio recibido,Gran Cruz de la Orden de Isabel la Católica,nicaragua
Anastasio Somoza Debayle,Premio recibido,gran collar de la orden del Infante Don Enrique,nicaragua
Bárbara Carrera,Ocupación,actor,nicaragua
Bárbara Carrera,Ciudadanía,Estados Unidos,nicaragua
Bárbara Carrera,Ocupación,modelo,nicaragua
Argentina,miembro de,Organización de las Naciones Unidas,nicaragua
Argentina,miembro de,Unión de Naciones Suramericanas,nicaragua
Argentina,miembro de,Mercosur,nicaragua
Argentina,miembro de,UNESCO,nicaragua
escritor,instancia de,profesión,nicaragua
escritor,instancia de,ocupación,nicaragua
escritor,subclase de,autor,nicaragua
escritor,subclase de,artista,nicaragua
Nicaragua,forma parte de,América Latina,nicaragua
Nicaragua,forma parte de,América Central,nicaragua
Nicaragua,miembro de,Organización de las Naciones Unidas,nicaragua
Universidad de Columbia,país,Estados Unidos,nicaragua
Universidad de Columbia,instancia de,universidad privada,nicaragua
Universidad de Columbia,instancia de,Colegios coloniales,nicaragua
Universidad de Columbia,instancia de,universidad de investigación,nicaragua
Universidad de Columbia,instancia de,institución educativa privada sin fines de lucro,nicaragua
Casa de los tres mundos,país,Nicaragua,nicaragua
Casa de los tres mundos,instancia de,centro artístico,nicaragua
Casa de los tres mundos,situado en la entidad territorial administrativa,Granada,nicaragua
Casa de los tres mundos,ubicación,Granada,nicaragua
Estelí,país,Nicaragua,nicaragua
Estelí,instancia de,municipio de Nicaragua,nicaragua
Estelí,instancia de,gran ciudad,nicaragua
Estelí,comparte fronteras con,Jinotega,nicaragua
Estelí,situado en la entidad territorial administrativa,Departamento de Estelí,nicaragua
escritor de literatura infantil,instancia de,profesión,nicaragua
escritor de literatura infantil,instancia de,ocupación,nicaragua
escritor de literatura infantil,género,libro infantil,nicaragua
escritor de literatura infantil,subclase de,escritor,nicaragua
escritor de literatura infantil,ámbito de la ocupación,literatura infantil,nicaragua
El Salvador,país,El Salvador,nicaragua
El Salvador,jefe de gobierno,Nayib Bukele,nicaragua
El Salvador,continente,América del Norte,nicaragua
El Salvador,instancia de,país,nicaragua
El Salvador,instancia de,estado soberano,nicaragua
Universidad George Washington,país,Estados Unidos,nicaragua
Universidad George Washington,instancia de,universidad privada,nicaragua
Universidad George Washington,instancia de,universidad de investigación,nicaragua
Universidad George Washington,instancia de,institución educativa privada sin fines de lucro,nicaragua
Universidad George Washington,instancia de,editor de acceso abierto,nicaragua
comendador de la Orden de la Estrella de la Solidaridad Italiana,país,Italia,nicaragua
comendador de la Orden de la Estrella de la Solidaridad Italiana,instancia de,grado de una orden,nicaragua
comendador de la Orden de la Estrella de la Solidaridad Italiana,subclase de,comendador,nicaragua
comendador de la Orden de la Estrella de la Solidaridad Italiana,forma parte de,Orden de la estrella de la solidaridad italiana,nicaragua
comendador de la Orden de la Estrella de la Solidaridad Italiana,categoría principal del tema,Categoría:Ganadores de comendador de la Orden de la Estrella de la Solidaridad Italiana,nicaragua
Managua,jefe de gobierno,Reyna Rueda,nicaragua
Managua,país,Nicaragua,nicaragua
Managua,instancia de,municipio de Nicaragua,nicaragua
Managua,instancia de,gran ciudad,nicaragua
Managua,instancia de,ciudad más grande,nicaragua
juez,instancia de,embede,nicaragua
juez,instancia de,profesión jurídica,nicaragua
juez,instancia de,grupo de ocupaciones de la CIUO,nicaragua
juez,subclase de,jurista,nicaragua
Universidad Católica de América,país,Estados Unidos,nicaragua
Universidad Católica de América,instancia de,universidad católica,nicaragua
Universidad Católica de América,situado en la entidad territorial administrativa,Washington D. C.,nicaragua
Universidad Católica de América,religión,Iglesia católica,nicaragua
embajador,lista de interés para el proyecto Wikimedia,Wikipedia:Lista de artículos que toda Wikipedia debería tener/Expandida,nicaragua
embajador,instancia de,rango diplomático,nicaragua
embajador,instancia de,título de autoridad,nicaragua
embajador,instancia de,cargo,nicaragua
Bluefields,país,Nicaragua,nicaragua
Bluefields,instancia de,municipio de Nicaragua,nicaragua
Bluefields,situado en la entidad territorial administrativa,Región Autónoma de la Costa Caribe Sur,nicaragua
Bluefields,ciudad hermana,Gerona,nicaragua
Bluefields,ciudad hermana,Racine,nicaragua
actor de televisión,instancia de,profesión,nicaragua
actor de televisión,subclase de,actor,nicaragua
actor de televisión,ámbito de la ocupación,actuación para la televisión,nicaragua
actor de televisión,categoría principal del tema,Categoría:Actores de televisión,nicaragua
actor de cine,instancia de,profesión del cine,nicaragua
actor de cine,subclase de,actor,nicaragua
actor de cine,categoría principal del tema,Categoría:Actores de cine,nicaragua
actor de cine,diferente de,actor de televisión,nicaragua
Granada,país,Nicaragua,nicaragua
Granada,instancia de,municipio de Nicaragua,nicaragua
Granada,instancia de,gran ciudad,nicaragua
Granada,situado en la entidad territorial administrativa,Departamento de Granada,nicaragua
Granada,ciudad hermana,Fráncfort del Meno,nicaragua
político,instancia de,profesión,nicaragua
político,instancia de,frecuentemente,nicaragua
político,subclase de,profesional,nicaragua
político,ámbito de la ocupación,política,nicaragua
político,categoría principal del tema,Categoría:Políticos,nicaragua
ministro de Educación,instancia de,cargo público,nicaragua
ministro de Educación,instancia de,cargo,nicaragua
ministro de Educación,subclase de,ministro,nicaragua
ministro de Educación,categoría principal del tema,Categoría:Ministros de Educación,nicaragua
ministro de Educación,diferente de,Secretario de Estado para la Educación,nicaragua
Los Ángeles,jefe de gobierno,Karen Bass,nicaragua
Los Ángeles,país,Estados Unidos,nicaragua
Los Ángeles,continente,América del Norte,nicaragua
Los Ángeles,instancia de,ciudad,nicaragua
Los Ángeles,instancia de,megaciudad,nicaragua
sacerdote,instancia de,ocupación religiosa,nicaragua
sacerdote,subclase de,clérigo,nicaragua
sacerdote,ámbito de la ocupación,sacerdocio,nicaragua
sacerdote,se dice que es lo mismo que,ministro religioso,nicaragua
sacerdote,prefijo honorífico,reverendo,nicaragua
Estados Unidos,forma de gobierno,república,nicaragua
Estados Unidos,forma de gobierno,presidencialismo,nicaragua
Estados Unidos,forma de gobierno,república federal,nicaragua
Estados Unidos,nombrado en referencia a,América,nicaragua
Estados Unidos,subdividido en (división administrativa),California,nicaragua
Columbia University Graduate School of Journalism,país,Estados Unidos,nicaragua
Columbia University Graduate School of Journalism,instancia de,escuela de periodismo,nicaragua
Columbia University Graduate School of Journalism,instancia de,departamento universitario,nicaragua
Columbia University Graduate School of Journalism,instancia de,escuela de postgrado,nicaragua
Columbia University Graduate School of Journalism,fundador,Joseph Pulitzer,nicaragua
Organización de las Naciones Unidas,objetivo del proyecto o de la acción,paz,nicaragua
Organización de las Naciones Unidas,objetivo del proyecto o de la acción,donación,nicaragua
Organización de las Naciones Unidas,secretario general,António Guterres,nicaragua
Organización de las Naciones Unidas,categoría para empleados de la organización,Categoría:Directivos de la Organización de las Naciones Unidas,nicaragua
Rivas,descrito en la fuente,Diccionario Enciclopédico Brockhaus y Efron,nicaragua
Rivas,capital de,Departamento de Rivas,nicaragua
Rivas,diferente de,Rivas,nicaragua
Presidente de Nicaragua,país,Nicaragua,nicaragua
Presidente de Nicaragua,instancia de,cargo público,nicaragua
Presidente de Nicaragua,subclase de,presidente,nicaragua
Presidente de Nicaragua,subclase de,jefe del Gobierno,nicaragua
Alajuela,país,Costa Rica,nicaragua
Alajuela,instancia de,ciudad,nicaragua
Alajuela,instancia de,distrito de Costa Rica,nicaragua
Alajuela,situado en la entidad territorial administrativa,Cantón de Alajuela,nicaragua
Alajuela,ciudad hermana,Hangzhou,nicaragua
Ciudad Darío,país,Nicaragua,nicaragua
Ciudad Darío,instancia de,municipio de Nicaragua,nicaragua
Ciudad Darío,situado en la entidad territorial administrativa,Departamento de Matagalpa,nicaragua
Azul...,instancia de,obra literaria,nicaragua
Azul...,autor,Rubén Darío,nicaragua
Azul...,género,poesía,nicaragua
Azul...,idioma de la obra o del nombre,español,nicaragua
Azul...,país de origen,Chile,nicaragua
cónsul,instancia de,rango diplomático,nicaragua
cónsul,instancia de,cargo,nicaragua
cónsul,subclase de,diplomático,nicaragua
cónsul,aplica a la jurisdicción,resto del mundo,nicaragua
sacerdote católico,instancia de,vocación católica,nicaragua
sacerdote católico,religión,catolicismo,nicaragua
sacerdote católico,religión,Iglesia católica,nicaragua
sacerdote católico,subclase de,sacerdote,nicaragua
sacerdote católico,subclase de,presbítero,nicaragua
obispo titular,instancia de,cargo,nicaragua
obispo titular,instancia de,cargo eclesiástico,nicaragua
obispo titular,instancia de,función episcopal,nicaragua
obispo titular,instancia de,vocación católica,nicaragua
obispo titular,subclase de,obispo católico,nicaragua
Orden El Sol del Perú,país,Perú,nicaragua
Orden El Sol del Perú,instancia de,orden estatal,nicaragua
Orden El Sol del Perú,fundador,José de San Martín,nicaragua
Orden El Sol del Perú,compuesto por,Comendador de la Orden del Sol del Perú,nicaragua
Orden El Sol del Perú,compuesto por,Gran Cruz de la Orden El Sol del Perú,nicaragua
actor,instancia de,profesión,nicaragua
actor,instancia de,ocupación,nicaragua
actor,instancia de,grupo de ocupaciones de la CIUO,nicaragua
actor,subclase de,artista escénico,nicaragua
Reino Unido,miembro de,Organización para la Cooperación y el Desarrollo Económico,nicaragua
Reino Unido,miembro de,Agencia Espacial Europea,nicaragua
Reino Unido,miembro de,Programa de exención de visa,nicaragua
Reino Unido,miembro de,Organización para la Seguridad y la Cooperación en Europa,nicaragua
Reino Unido,miembro de,Observatorio Europeo del Sur,nicaragua
Instituto de Estudios Políticos de París,país,Francia,nicaragua
Instituto de Estudios Políticos de París,instancia de,organización,nicaragua
Instituto de Estudios Políticos de París,instancia de,Gran Escuela,nicaragua
Instituto de Estudios Políticos de París,instancia de,universidad pública,nicaragua
Instituto de Estudios Políticos de París,instancia de,grand établissement,nicaragua
Premio Right Livelihood,país,Suecia,nicaragua
Premio Right Livelihood,instancia de,premio político,nicaragua
Premio Right Livelihood,fundador,Jakob von Uexkull,nicaragua
Premio Right Livelihood,categoría principal del tema,Categoría:Premio Right Livelihood,nicaragua
Premio Right Livelihood,conferido por,Right Livelihood Award Foundation,nicaragua
España,jefe de gobierno,Pedro Sánchez,nicaragua
España,continente,Europa,nicaragua
España,instancia de,país,nicaragua
España,instancia de,Estado nación,nicaragua
España,instancia de,reino,nicaragua
La mujer habitada,instancia de,obra literaria,nicaragua
La mujer habitada,autor,Gioconda Belli,nicaragua
La mujer habitada,idioma de la obra o del nombre,español,nicaragua
La mujer habitada,forma artística,novela,nicaragua
Academia Nicaragüense de la Lengua,país,Nicaragua,nicaragua
Academia Nicaragüense de la Lengua,instancia de,sociedad erudita,nicaragua
Academia Nicaragüense de la Lengua,industria,educación superior,nicaragua
Academia Nicaragüense de la Lengua,categoría principal del tema,Categoría:Miembros de la Academia Nicaragüense de la Lengua,nicaragua
monja,instancia de,ocupación religiosa,nicaragua
monja,subclase de,monje,nicaragua
monja,ámbito de la ocupación,monacato femenino,nicaragua
monja,opuesto a,monje,nicaragua
monja,prefijo honorífico,Hermana,nicaragua
Nindirí,país,Nicaragua,nicaragua
Nindirí,instancia de,municipio de Nicaragua,nicaragua
Nindirí,situado en la entidad territorial administrativa,Departamento de Masaya,nicaragua
Universidad de San Luis,país,Estados Unidos,nicaragua
Universidad de San Luis,instancia de,universidad,nicaragua
Universidad de San Luis,instancia de,edificio,nicaragua
Universidad de San Luis,instancia de,institución educativa privada sin fines de lucro,nicaragua
Universidad de San Luis,fundador,Compañía de Jesús,nicaragua
San Marcos,país,Nicaragua,nicaragua
San Marcos,instancia de,municipio de Nicaragua,nicaragua
San Marcos,situado en la entidad territorial administrativa,Departamento de Carazo,nicaragua
San Marcos,ciudad hermana,Jena,nicaragua
León,descrito en la fuente,Gran Enciclopedia Soviética (1926—1947),nicaragua
León,reemplaza a,Ruínas de León Viejo,nicaragua
León,capital de,Departamento de León,nicaragua
miembro de la Asamblea Nacional de Nicaragua,país,Nicaragua,nicaragua
miembro de la Asamblea Nacional de Nicaragua,instancia de,cargo,nicaragua
